bf,ARCE-AutoritÈ de RÈgulation des Communications Electroniques,country-code
bg,Register.BG,country-code
bh,Telecommunications Regulatory Authority (TRA),country-code
bharti,Bharti Enterprises (Holding) Private Limited,generic
bi,Centre National de l'Informatique,country-code
bible,American Bible Society,generic
bid,dot Bid Limited,generic
bike,"Binky Moon, LLC",generic
bing,Microsoft Corporation,generic
bingo,"Binky Moon, LLC",generic
bio,STARTING DOT LIMITED,generic
biz,"Neustar, Inc.",generic-restricted
bj,Benin Telecoms S.A.,country-code
bl,Not assigned,country-code
black,Afilias plc,generic
blackfriday,"Uniregistry, Corp.",generic
blanco,BLANCO GmbH + Co KG,generic
blockbuster,Dish DBS Corporation,generic
blog,"Knock Knock WHOIS There, LLC",generic
bloomberg,Bloomberg IP Holdings LLC,generic
blue,Afilias plc,generic
bm,"Registry General Department, Ministry of Home Affairs",country-code
bms,Bristol-Myers Squibb Company,generic
bmw,Bayerische Motoren Werke Aktiengesellschaft,generic
bn,Authority for Info-communications Technology Industry of Brunei Darussalam (AITI),country-code
bnl,Banca Nazionale del Lavoro,generic
bnpparibas,BNP Paribas,generic
bo,Agencia para el Desarrollo de la Información de la Sociedad en Bolivia,country-code
boats,"DERBoats, LLC",generic
boehringer,Boehringer Ingelheim International GmbH,generic
bofa,Bank of America Corporation,generic
bom,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,generic
bond,Bond University Limited,generic
boo,Charleston Road Registry Inc.,generic
book,"Amazon Registry Services, Inc.",generic
booking,Booking.com B.V.,generic
boots,Not assigned,generic
bosch,Robert Bosch GMBH,generic
bostik,Bostik SA,generic
boston,"Boston TLD Management, LLC",generic
bot,"Amazon Registry Services, Inc.",generic
boutique,"Binky Moon, LLC",generic
box,NS1 Limited,generic
bq,Not assigned,country-code
br,Comite Gestor da Internet no Brasil,country-code
bradesco,Banco Bradesco S.A.,generic
bridgestone,Bridgestone Corporation,generic
broadway,"Celebrate Broadway, Inc.",generic
broker,DOTBROKER REGISTRY LTD,generic
brother,"Brother Industries, Ltd.",generic
brussels,DNS.be vzw,generic
bs,The College of the Bahamas,country-code
bt,Ministry of Information and Communications,country-code
budapest,Top Level Domain Holdings Limited,generic
bugatti,Bugatti International SA,generic
build,Plan Bee LLC,generic
builders,"Binky Moon, LLC",generic
business,"Binky Moon, LLC",generic
buy,"Amazon Registry Services, INC",generic
buzz,DOTSTRATEGY CO.,generic
bv,UNINETT Norid A/S,country-code
bw,Botswana Communications Regulatory Authority (BOCRA),country-code
by,"Reliable Software, Ltd.",country-code
bz,University of Belize,country-code
bzh,Association www.bzh,generic
ca,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI),country-code
cab,"Binky Moon, LLC",generic
cafe,"Binky Moon, LLC",generic
cal,Charleston Road Registry Inc.,generic
call,"Amazon Registry Services, Inc.",generic
calvinklein,PVH gTLD Holdings LLC,generic
cam,AC Webconnecting Holding B.V.,generic
camera,"Binky Moon, LLC",generic
camp,"Binky Moon, LLC",generic
cancerresearch,Australian Cancer Research Foundation,generic
canon,Canon Inc.,generic
capetown,ZA Central Registry NPC trading as ZA Central Registry,generic
capital,"Binky Moon, LLC",generic
capitalone,Capital One Financial Corporation,generic
car,Cars Registry Limited,generic
caravan,"Caravan International, Inc.",generic
cards,"Binky Moon, LLC",generic
care,"Binky Moon, LLC",generic
career,dotCareer LLC,generic
careers,"Binky Moon, LLC",generic
cars,Cars Registry Limited,generic
cartier,Richemont DNS Inc.,generic
casa,Top Level Domain Holdings Limited,generic
case,CNH Industrial N.V.,generic
caseih,CNH Industrial N.V.,generic
cash,"Binky Moon, LLC",generic
casino,"Binky Moon, LLC",generic
cat,Fundacio puntCAT,sponsored
catering,"Binky Moon, LLC",generic
catholic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),generic
cba,COMMONWEALTH BANK OF AUSTRALIA,generic
cbn,"The Christian Broadcasting Network, Inc.",generic
cbre,"CBRE, Inc.",generic
cbs,CBS Domains Inc.,generic
cc,"eNIC Cocos (Keeling) Islands Pty.
Ltd. d/b/a Island Internet Services",country-code
cd,Office Congolais des Postes et Télécommunications - OCPT,country-code
ceb,The Corporate Executive Board Company,generic
center,"Binky Moon, LLC",generic
ceo,CEOTLD Pty Ltd,generic
cern,"European Organization for Nuclear Research (""CERN"")",generic
cf,Societe Centrafricaine de Telecommunications (SOCATEL),country-code
cfa,CFA Institute,generic
cfd,DOTCFD REGISTRY LTD,generic
cg,ONPT Congo and Interpoint Switzerland,country-code
ch,SWITCH The Swiss Education & Research Network,country-code
chanel,Chanel International B.V.,generic
channel,Charleston Road Registry Inc.,generic
charity,"Corn Lake, LLC",generic
chase,"JPMorgan Chase Bank, National Association",generic
chat,"Binky Moon, LLC",generic
cheap,"Binky Moon, LLC",generic
chintai,CHINTAI Corporation,generic
chloe,Not assigned,generic
christmas,"Uniregistry, Corp.",generic
chrome,Charleston Road Registry Inc.,generic
chrysler,FCA US LLC.,generic
church,"Binky Moon, LLC",generic
ci,Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI),country-code
cipriani,Hotel Cipriani Srl,generic
circle,"Amazon Registry Services, Inc.",generic
cisco,"Cisco Technology, Inc.",generic
citadel,Citadel Domain LLC,generic
citi,Citigroup Inc.,generic
citic,CITIC Group Corporation,generic
city,"Binky Moon, LLC",generic
cityeats,"Lifestyle Domain Holdings, Inc.",generic
ck,Telecom Cook Islands Ltd.,country-code
cl,NIC Chile (University of Chile),country-code
claims,"Binky Moon, LLC",generic
cleaning,"Binky Moon, LLC",generic
click,"Uniregistry, Corp.",generic
clinic,"Binky Moon, LLC",generic
clinique,The Estée Lauder Companies Inc.,generic
clothing,"Binky Moon, LLC",generic
cloud,ARUBA PEC S.p.A.,generic
club,".CLUB DOMAINS, LLC",generic
clubmed,Club Méditerranée S.A.,generic
cm,Cameroon Telecommunications (CAMTEL),country-code
cn,China Internet Network Information Center (CNNIC),country-code
co,.CO Internet S.A.S.,country-code
coach,"Binky Moon, LLC",generic
codes,"Binky Moon, LLC",generic
coffee,"Binky Moon, LLC",generic
college,XYZ.COM LLC,generic
cologne,punkt.wien GmbH,generic
com,VeriSign Global Registry Services,generic
comcast,"Comcast IP Holdings I, LLC",generic
commbank,COMMONWEALTH BANK OF AUSTRALIA,generic
community,"Binky Moon, LLC",generic
company,"Binky Moon, LLC",generic
compare,iSelect Ltd,generic
computer,"Binky Moon, LLC",generic
comsec,"VeriSign, Inc.",generic
condos,"Binky Moon, LLC",generic
construction,"Binky Moon, LLC",generic
consulting,"United TLD Holdco, LTD.",generic
contact,"Top Level Spectrum, Inc.",generic
contractors,"Binky Moon, LLC",generic
cooking,Top Level Domain Holdings Limited,generic
cookingchannel,"Lifestyle Domain Holdings, Inc.",generic
cool,"Binky Moon, LLC",generic
coop,DotCooperation LLC,sponsored
corsica,Collectivité Territoriale de Corse,generic
country,Top Level Domain Holdings Limited,generic
coupon,"Amazon Registry Services, Inc.",generic
coupons,"Binky Moon, LLC",generic
courses,OPEN UNIVERSITIES AUSTRALIA PTY LTD,generic
cr,"National Academy of Sciences
Academia Nacional de Ciencias",country-code
credit,"Binky Moon, LLC",generic
creditcard,"Binky Moon, LLC",generic
creditunion,"CUNA Performance Resources, LLC",generic
cricket,dot Cricket Limited,generic
crown,Crown Equipment Corporation,generic
crs,Federated Co-operatives Limited,generic
cruise,Viking River Cruises (Bermuda) Ltd.,generic
cruises,"Binky Moon, LLC",generic
csc,"Alliance-One Services, Inc.",generic
cu,"CENIAInternet
Industria y San Jose
Capitolio Nacional",country-code
cuisinella,SALM S.A.S.,generic
cv,Agência Nacional das Comunicações (ANAC),country-code
cw,University of Curacao,country-code
cx,Christmas Island Domain Administration Limited,country-code
cy,University of Cyprus,country-code
cymru,Nominet UK,generic
cyou,"Beijing Gamease Age Digital Technology Co., Ltd.",generic
cz,"CZ.NIC, z.s.p.o",country-code
dabur,Dabur India Limited,generic
dad,Charleston Road Registry Inc.,generic
dance,United TLD Holdco Ltd.,generic
data,Dish DBS Corporation,generic
date,dot Date Limited,generic
dating,"Binky Moon, LLC",generic
datsun,"NISSAN MOTOR CO., LTD.",generic
day,Charleston Road Registry Inc.,generic
dclk,Charleston Road Registry Inc.,generic
dds,Minds + Machines Group Limited,generic
de,DENIC eG,country-code
deal,"Amazon Registry Services, Inc.",generic
dealer,"Dealer Dot Com, Inc.",generic
deals,"Binky Moon, LLC",generic
degree,"United TLD Holdco, Ltd",generic
delivery,"Binky Moon, LLC",generic
dell,Dell Inc.,generic
deloitte,Deloitte Touche Tohmatsu,generic
delta,"Delta Air Lines, Inc.",generic
democrat,United TLD Holdco Ltd.,generic
dental,"Binky Moon, LLC",generic
dentist,"United TLD Holdco, Ltd",generic
desi,Desi Networks LLC,generic
design,"Top Level Design, LLC",generic
dev,Charleston Road Registry Inc.,generic
dhl,Deutsche Post AG,generic
diamonds,"Binky Moon, LLC",generic
diet,"Uniregistry, Corp.",generic
digital,"Binky Moon, LLC",generic
direct,"Binky Moon, LLC",generic
directory,"Binky Moon, LLC",generic
discount,"Binky Moon, LLC",generic
discover,Discover Financial Services,generic
dish,Dish DBS Corporation,generic
diy,"Lifestyle Domain Holdings, Inc.",generic
dj,Djibouti Telecom S.A,country-code
dk,Dansk Internet Forum,country-code
dm,DotDM Corporation,country-code
dnp,"Dai Nippon Printing Co., Ltd.",generic
do,"Pontificia Universidad Catolica Madre y Maestra
Recinto Santo Tomas de Aquino",country-code
docs,Charleston Road Registry Inc.,generic
doctor,"Binky Moon, LLC",generic
dodge,FCA US LLC.,generic
dog,"Binky Moon, LLC",generic
doha,Communications Regulatory Authority (CRA),generic
domains,"Binky Moon, LLC",generic
doosan,Retired,generic
dot,Dish DBS Corporation,generic
download,dot Support Limited,generic
drive,Charleston Road Registry Inc.,generic
dtv,Dish DBS Corporation,generic
dubai,Dubai Smart Government Department,generic
duck,"Johnson Shareholdings, Inc.",generic
dunlop,The Goodyear Tire & Rubber Company,generic
duns,The Dun & Bradstreet Corporation,generic
dupont,E. I. du Pont de Nemours and Company,generic
durban,ZA Central Registry NPC trading as ZA Central Registry,generic
dvag,Deutsche Vermögensberatung Aktiengesellschaft DVAG,generic
dvr,Hughes Satellite Systems Corporation,generic
dz,CERIST,country-code
earth,"Interlink Co., Ltd.",generic
eat,Charleston Road Registry Inc.,generic
ec,ECUADORDOMAIN S.A.,country-code
eco,Big Room Inc.,generic
edeka,EDEKA Verband kaufmännischer Genossenschaften e.V.,generic
edu,EDUCAUSE,sponsored
education,"Binky Moon, LLC",generic
ee,Eesti Interneti Sihtasutus (EIS),country-code
eg,"Egyptian Universities Network (EUN)
Supreme Council of Universities",country-code
eh,Not assigned,country-code
email,"Binky Moon, LLC",generic
emerck,Merck KGaA,generic
energy,"Binky Moon, LLC",generic
engineer,United TLD Holdco Ltd.,generic
engineering,"Binky Moon, LLC",generic
enterprises,"Binky Moon, LLC",generic
epost,Deutsche Post AG,generic
epson,Seiko Epson Corporation,generic
equipment,"Binky Moon, LLC",generic
er,Eritrea Telecommunication Services Corporation (EriTel),country-code
ericsson,Telefonaktiebolaget L M Ericsson,generic
erni,ERNI Group Holding AG,generic
es,Red.es,country-code
esq,Charleston Road Registry Inc.,generic
estate,"Binky Moon, LLC",generic
esurance,Esurance Insurance Company,generic
et,Ethio telecom,country-code
etisalat,Emirates Telecommunications Corporation (trading as Etisalat),generic
eu,EURid vzw/asbl,country-code
eurovision,European Broadcasting Union (EBU),generic
eus,Puntueus Fundazioa,generic
events,"Binky Moon, LLC",generic
everbank,EverBank,generic
exchange,"Binky Moon, LLC",generic
expert,"Binky Moon, LLC",generic
exposed,"Binky Moon, LLC",generic
express,"Binky Moon, LLC",generic
extraspace,Extra Space Storage LLC,generic
fage,Fage International S.A.,generic
fail,"Binky Moon, LLC",generic
fairwinds,"FairWinds Partners, LLC",generic
faith,dot Faith Limited,generic
family,United TLD Holdco Ltd.,generic
fan,Asiamix Digital Ltd,generic
fans,Asiamix Digital Limited,generic
farm,"Binky Moon, LLC",generic
farmers,Farmers Insurance Exchange,generic
fashion,Top Level Domain Holdings Limited,generic
fast,"Amazon Registry Services, Inc.",generic
fedex,Federal Express Corporation,generic
feedback,"Top Level Spectrum, Inc.",generic
ferrari,Fiat Chrysler Automobiles N.V.,generic
ferrero,Ferrero Trading Lux S.A.,generic
fi,Finnish Communications Regulatory Authority,country-code
fiat,Fiat Chrysler Automobiles N.V.,generic
fidelity,Fidelity Brokerage Services LLC,generic
fido,Rogers Communications Canada Inc.,generic
film,Motion Picture Domain Registry Pty Ltd,generic
final,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,generic
finance,"Binky Moon, LLC",generic
financial,"Binky Moon, LLC",generic
fire,"Amazon Registry Services, Inc.",generic
firestone,"Bridgestone Licensing Services, Inc.",generic
firmdale,Firmdale Holdings Limited,generic
fish,"Binky Moon, LLC",generic
fishing,Top Level Domain Holdings Limited,generic
fit,Minds + Machines Group Limited,generic
fitness,"Binky Moon, LLC",generic
fj,"The University of the South Pacific
IT Services",country-code
fk,Falkland Islands Government,country-code
flickr,Yahoo! Domain Services Inc.,generic
flights,"Binky Moon, LLC",generic
flir,"FLIR Systems, Inc.",generic
florist,"Binky Moon, LLC",generic
flowers,"Uniregistry, Corp.",generic
flsmidth,Retired,generic
fly,Charleston Road Registry Inc.,generic
fm,FSM Telecommunications Corporation,country-code
fo,FO Council,country-code
foo,Charleston Road Registry Inc.,generic
food,"Lifestyle Domain Holdings, Inc.",generic
foodnetwork,"Lifestyle Domain Holdings, Inc.",generic
football,"Binky Moon, LLC",generic
ford,Ford Motor Company,generic
forex,DOTFOREX REGISTRY LTD,generic
forsale,"United TLD Holdco, LLC",generic
forum,"Fegistry, LLC",generic
foundation,"Binky Moon, LLC",generic
fox,"FOX Registry, LLC",generic
fr,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),country-code
free,"Amazon Registry Services, Inc.",generic
fresenius,Fresenius Immobilien-Verwaltungs-GmbH,generic
frl,FRLregistry B.V.,generic
frogans,OP3FT,generic
frontdoor,"Lifestyle Domain Holdings, Inc.",generic
frontier,Frontier Communications Corporation,generic
ftr,Frontier Communications Corporation,generic
fujitsu,Fujitsu Limited,generic
fujixerox,Xerox DNHC LLC,generic
fun,"DotSpace, Inc.",generic
fund,"Binky Moon, LLC",generic
furniture,"Binky Moon, LLC",generic
futbol,"United TLD Holdco, Ltd.",generic
fyi,"Binky Moon, LLC",generic
ga,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF),country-code
gal,Asociación puntoGAL,generic
gallery,"Binky Moon, LLC",generic
gallo,"Gallo Vineyards, Inc.",generic
gallup,"Gallup, Inc.",generic
game,"Uniregistry, Corp.",generic
games,United TLD Holdco Ltd.,generic
gap,"The Gap, Inc.",generic
garden,Top Level Domain Holdings Limited,generic
gb,Reserved Domain - IANA,country-code
gbiz,Charleston Road Registry Inc.,generic
gd,The National Telecommunications Regulatory Commission (NTRC),country-code
gdn,"Joint Stock Company ""Navigation-information systems""",generic
ge,Caucasus Online LLC,country-code
gea,GEA Group Aktiengesellschaft,generic
gent,Combell nv,generic
genting,Resorts World Inc. Pte. Ltd.,generic
george,"Wal-Mart Stores, Inc.",generic
gf,Net Plus,country-code
gg,Island Networks Ltd.,country-code
ggee,"GMO Internet, Inc.",generic
gh,Network Computer Systems Limited,country-code
gi,Sapphire Networks,country-code
gift,"Uniregistry, Corp.",generic
gifts,"Binky Moon, LLC",generic
gives,United TLD Holdco Ltd.,generic
giving,Giving Limited,generic
gl,TELE Greenland A/S,country-code
glade,"Johnson Shareholdings, Inc.",generic
glass,"Binky Moon, LLC",generic
gle,Charleston Road Registry Inc.,generic
global,Dot Global Domain Registry Limited,generic
globo,Globo Comunicação e Participações S.A,generic
gm,GM-NIC,country-code
gmail,Charleston Road Registry Inc.,generic
gmbh,"Binky Moon, LLC",generic
gmo,"GMO Internet, Inc.",generic
gmx,1&1 Mail & Media GmbH,generic
gn,Centre National des Sciences Halieutiques de Boussoura,country-code
godaddy,"Go Daddy East, LLC",generic
gold,"Binky Moon, LLC",generic
goldpoint,"YODOBASHI CAMERA CO.,LTD.",generic
golf,"Binky Moon, LLC",generic
goo,NTT Resonant Inc.,generic
goodhands,Allstate Fire and Casualty Insurance Company,generic
goodyear,The Goodyear Tire & Rubber Company,generic
goog,Charleston Road Registry Inc.,generic
google,Charleston Road Registry Inc.,generic
gop,"Republican State Leadership Committee, Inc.",generic
got,"Amazon Registry Services, Inc.",generic
gov,"General Services Administration
Attn: QTDC, 2E08 (.gov Domain Registration)",sponsored
gp,Networking Technologies Group,country-code
gq,GETESA,country-code
gr,ICS-FORTH GR,country-code
grainger,"Grainger Registry Services, LLC",generic
graphics,"Binky Moon, LLC",generic
gratis,"Binky Moon, LLC",generic
green,DotGreen Registry Limited,generic
gripe,"Binky Moon, LLC",generic
grocery,"Wal-Mart Stores, Inc.",generic
group,"Binky Moon, LLC",generic
gs,Government of South Georgia and South Sandwich Islands (GSGSSI),country-code
gt,Universidad del Valle de Guatemala,country-code
gu,University of Guam,country-code
guardian,The Guardian Life Insurance Company of America,generic
gucci,Guccio Gucci S.p.a.,generic
guge,Charleston Road Registry Inc.,generic
guide,"Binky Moon, LLC",generic
guitars,"Uniregistry, Corp.",generic
guru,"Binky Moon, LLC",generic
gw,Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau,country-code
gy,University of Guyana,country-code
hair,L'Oreal,generic
hamburg,Hamburg Top-Level-Domain GmbH,generic
hangout,Charleston Road Registry Inc.,generic
haus,"United TLD Holdco, LTD.",generic
hbo,"HBO Registry Services, Inc.",generic
hdfc,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,generic
hdfcbank,HDFC Bank Limited,generic
health,"DotHealth, LLC",generic
healthcare,"Binky Moon, LLC",generic
help,"Uniregistry, Corp.",generic
helsinki,City of Helsinki,generic
here,Charleston Road Registry Inc.,generic
hermes,Hermes International,generic
hgtv,"Lifestyle Domain Holdings, Inc.",generic
hiphop,"Uniregistry, Corp.",generic
